"x","iter2_AS","iter3_AS","iter4_AS","lat_AS","iter2_Bi","iter3_Bi","iter4_Bi","lat_Bi"
1,2.4304,3.8456,5.1184,1.7944,3.3912,5.228,6.9472,2.4144
2,2.4216,3.8288,5.0952,1.7864,3.3968,5.2056,6.9632,2.4104
3,2.4064,3.82,5.0656,1.7792,3.3992,5.2112,6.9664,2.4104
4,2.3928,3.8136,5.0456,1.7728,3.3848,5.2088,6.9432,2.4064
5,2.3856,3.8016,5.0056,1.7704,3.3904,5.2176,6.9312,2.408
6,2.368,3.7656,5.0184,1.7568,3.3864,5.2176,6.936,2.4048
7,2.3496,3.748,5.008,1.748,3.3872,5.2072,6.948,2.4008
8,2.3464,3.7176,4.9888,1.7416,3.3992,5.1952,6.92,2.4032
9,2.3264,3.7072,4.9568,1.7416,3.4048,5.192,6.9024,2.4056
10,2.3184,3.6896,4.9288,1.7392,3.3896,5.2032,6.8928,2.4112
11,2.296,3.66,4.9232,1.736,3.3776,5.2024,6.9016,2.4104
12,2.2808,3.6488,4.9224,1.732,3.3792,5.2136,6.9344,2.4112
13,2.2712,3.6504,4.9096,1.7312,3.3824,5.2088,6.936,2.408
14,2.26,3.636,4.9024,1.7216,3.3904,5.1944,6.9304,2.4064
15,2.2552,3.6104,4.8904,1.7128,3.3832,5.2136,6.9152,2.4088
16,2.2424,3.5792,4.8688,1.7064,3.3816,5.2136,6.8968,2.412
17,2.2312,3.5664,4.8392,1.6984,3.3816,5.2192,6.9104,2.4112
18,2.2168,3.5384,4.8352,1.6952,3.3792,5.232,6.9096,2.4024
20,2.1816,3.5256,4.8056,1.6904,3.3704,5.2216,6.8912,2.4048
21,2.1728,3.4896,4.8088,1.6864,3.3704,5.2168,6.8832,2.4064
23,2.1424,3.4592,4.7848,1.68,3.376,5.2336,6.8808,2.4176
24,2.1312,3.456,4.7552,1.6736,3.3688,5.2384,6.8952,2.4208
26,2.1136,3.4136,4.7568,1.668,3.3656,5.2328,6.884,2.4192
28,2.088,3.3768,4.7304,1.66,3.3528,5.2224,6.8936,2.4072
30,2.0744,3.348,4.7008,1.6552,3.3552,5.2016,6.8608,2.404
33,2.036,3.3008,4.6544,1.6496,3.34,5.1792,6.8504,2.392
35,2.0032,3.2624,4.6192,1.6384,3.3464,5.1704,6.8288,2.3872
38,1.9776,3.2256,4.5648,1.6224,3.3296,5.1592,6.8048,2.384
41,1.9472,3.1664,4.5192,1.6016,3.3176,5.164,6.8248,2.376
44,1.9144,3.144,4.4512,1.5856,3.2912,5.144,6.8008,2.3712
47,1.8952,3.0976,4.4224,1.5728,3.272,5.1152,6.8184,2.364
50,1.8664,3.0504,4.3728,1.5592,3.2432,5.1008,6.7544,2.3536
54,1.852,3.0088,4.3328,1.5376,3.2448,5.0912,6.6816,2.3472
58,1.8072,2.9952,4.2672,1.5216,3.2264,5.0768,6.6624,2.34
63,1.7728,2.952,4.2104,1.5136,3.1768,5.0216,6.6368,2.3392
67,1.7288,2.9384,4.152,1.4952,3.1608,4.984,6.6144,2.3368
73,1.6872,2.9248,4.1096,1.4792,3.104,4.9392,6.5824,2.324
78,1.644,2.88,4.0968,1.4704,3.0704,4.8896,6.5128,2.3152
84,1.588,2.8392,4.0304,1.4616,3.0272,4.8584,6.4928,2.3104
90,1.5224,2.7936,3.9784,1.4552,2.9936,4.8272,6.4312,2.3088
97,1.4904,2.7648,3.8864,1.448,2.9776,4.7472,6.3768,2.3024
104,1.4568,2.7128,3.8056,1.4328,2.9544,4.704,6.3696,2.2936
112,1.4112,2.6888,3.7496,1.4072,2.9224,4.6288,6.3216,2.2808
121,1.3696,2.6344,3.7544,1.3968,2.8648,4.5704,6.2264,2.2664
130,1.3152,2.6032,3.7016,1.3952,2.8208,4.5416,6.1576,2.2448
139,1.2808,2.5728,3.6128,1.3768,2.7512,4.504,6.1104,2.2288
150,1.2464,2.4752,3.5896,1.3584,2.6904,4.4104,6.036,2.2
161,1.2248,2.428,3.5912,1.3392,2.5832,4.3424,5.9584,2.1888
173,1.1648,2.3208,3.5336,1.3296,2.5336,4.2856,5.8984,2.1768
186,1.1312,2.2312,3.4264,1.3136,2.4872,4.2216,5.824,2.16
201,1.096,2.1872,3.3592,1.288,2.416,4.1456,5.7232,2.1056
216,1.0512,2.16,3.276,1.2648,2.2952,4.0624,5.5848,2.0744
232,1.0304,2.12,3.2312,1.2552,2.1888,4.004,5.548,2.032
249,1.0104,2.1128,3.1824,1.2464,2.1232,3.8688,5.4304,1.992
268,0.9792,2.0616,3.1072,1.2248,2.0656,3.8056,5.3008,1.9616
288,0.9504,2.0384,3.0704,1.1992,1.9696,3.676,5.1872,1.9472
310,0.92,2.0288,3.0368,1.1792,1.8904,3.6168,5.1224,1.9
333,0.8736,1.9584,2.9856,1.1696,1.7752,3.4576,5.0816,1.8568
358,0.8432,1.924,2.9768,1.1656,1.724,3.3456,4.9792,1.8184
385,0.8248,1.8624,2.9448,1.148,1.6544,3.3112,4.932,1.78
415,0.7752,1.7928,2.9704,1.132,1.592,3.2408,4.8184,1.736
446,0.7568,1.732,2.9808,1.092,1.5184,3.1,4.7264,1.7216
479,0.7392,1.7256,2.8728,1.0888,1.4728,3.04,4.5304,1.6656
515,0.7232,1.7024,2.9024,1.0536,1.4152,2.944,4.3784,1.6184
554,0.7144,1.7064,2.8816,1.0384,1.3904,2.788,4.3432,1.576
596,0.7112,1.7048,2.8728,1.036,1.3384,2.7376,4.3496,1.5472
641,0.6936,1.664,2.8304,1.0248,1.284,2.5944,4.2384,1.4912
689,0.6472,1.6704,2.7832,1.0104,1.2816,2.56,4.1624,1.4528
741,0.6184,1.668,2.8072,0.9848,1.2456,2.4672,4.0616,1.4344
797,0.58,1.6024,2.7152,0.988,1.2216,2.4512,3.952,1.3856
857,0.5584,1.5768,2.7184,0.964,1.1544,2.4072,3.9048,1.3376
921,0.5424,1.5888,2.7,0.984,1.0832,2.4152,3.8504,1.332
991,0.5512,1.5328,2.668,0.9624,1.0208,2.3424,3.8184,1.3152
1065,0.5272,1.5752,2.676,0.9464,1.0264,2.3192,3.6688,1.292
1146,0.4984,1.5712,2.6232,0.9208,1.016,2.38,3.7608,1.3
1232,0.4944,1.5808,2.52,0.9304,0.976,2.2096,3.5528,1.2312
1325,0.4936,1.5912,2.6336,0.9352,0.9424,2.2096,3.5696,1.196
1425,0.4624,1.5744,2.6624,0.9128,0.9288,2.1736,3.54,1.1448
1532,0.46,1.5704,2.6448,0.9152,0.8888,2.0712,3.3608,1.1192
1647,0.468,1.5928,2.6272,0.8888,0.8712,2.0032,3.4608,1.0632
1771,0.4552,1.5816,2.464,0.8696,0.8648,1.9896,3.5152,1.0728
1905,0.4416,1.5152,2.444,0.8184,0.7952,1.9528,3.3864,1.0216
2048,0.4888,1.4688,2.4048,0.8176,0.812,2.0184,3.3192,0.9704
2202,0.4704,1.4632,2.2592,0.7824,0.7816,1.9648,3.3016,0.968
2368,0.4248,1.3248,2.3232,0.7384,0.7968,1.9016,3.172,0.936
2547,0.3888,1.2944,2.364,0.7072,0.8336,2.0544,3.1776,0.9144
2738,0.384,1.2576,2.3416,0.6712,0.7688,1.9648,3.068,0.9024
2945,0.3768,1.2608,2.3696,0.6752,0.7512,1.94,3.0592,0.8576
3166,0.364,1.3056,2.3192,0.68,0.7,1.7776,2.9528,0.8568
3405,0.3456,1.292,2.2696,0.6528,0.6912,1.7712,2.8064,0.8176
3661,0.3328,1.3512,2.276,0.66,0.6304,1.8688,2.78,0.7696
3937,0.324,1.2536,2.4808,0.6096,0.6192,1.732,2.6672,0.7544
4234,0.328,1.216,2.2424,0.604,0.656,1.7096,2.5192,0.724
4553,0.3184,1.272,2.2968,0.6032,0.6136,1.6624,2.4784,0.692
4895,0.3112,1.3032,2.1504,0.5616,0.6,1.6408,2.272,0.648
5264,0.2984,1.3288,2.1344,0.5392,0.6184,1.5368,2.3336,0.6336
5661,0.2784,1.3368,2.0624,0.4752,0.5624,1.5016,2.1296,0.5984
6087,0.2832,1.3584,1.9288,0.4728,0.5648,1.5184,2.1272,0.6216
6545,0.28,1.2416,2.0192,0.424,0.6064,1.4888,1.9528,0.5608
7038,0.2576,1.2288,1.916,0.4136,0.4776,1.3992,1.8264,0.5176
7569,0.2384,1.1832,1.9112,0.4216,0.5568,1.3952,1.8256,0.5168
8139,0.2392,1.2168,1.796,0.4136,0.5224,1.3856,1.6584,0.4872
8752,0.2248,1.2328,1.7968,0.3776,0.512,1.4832,1.568,0.5104
9411,0.2408,1.1824,1.7856,0.3496,0.4424,1.3216,1.3792,0.4816
10120,0.2032,1.1136,1.7792,0.324,0.4504,1.3736,1.1744,0.4504
10882,0.2176,1.0208,1.6792,0.3008,0.456,1.3608,1.1624,0.4568
11701,0.1936,0.972,1.808,0.3288,0.4632,1.292,1.0208,0.436
12583,0.208,0.9536,1.6616,0.2752,0.4224,1.2584,0.8536,0.4112
13530,0.172,0.8904,1.66,0.256,0.3976,1.3224,0.8032,0.3864
14549,0.208,0.8208,1.4952,0.3024,0.36,1.2104,0.7304,0.3512
15645,0.1616,0.8816,1.4272,0.2776,0.3976,1.2184,0.6368,0.3544
16824,0.1544,0.9248,1.4352,0.2752,0.3768,1.1112,0.6104,0.3576
18091,0.1448,0.7712,1.3256,0.2592,0.3872,1.22,0.4832,0.3392
19453,0.1408,0.6112,1.1384,0.2544,0.3344,1.0608,0.464,0.2984
20918,0.136,0.7064,1.0712,0.2416,0.3112,0.9504,0.524,0.3
22494,0.1104,0.6832,0.9664,0.2048,0.3192,0.7928,0.4264,0.312
24188,0.1384,0.6328,0.9664,0.2128,0.344,0.8784,0.4824,0.2672
26010,0.128,0.6552,0.788,0.1624,0.3264,0.8152,0.3824,0.2288
27969,0.1184,0.5456,0.7888,0.2072,0.2928,0.7448,0.3216,0.2464
30076,0.1176,0.5272,0.624,0.164,0.2848,0.6312,0.2456,0.2376
32341,0.112,0.4872,0.5816,0.1632,0.2472,0.5368,0.124,0.2512
34777,0.1096,0.504,0.5408,0.1552,0.2512,0.496,0.0656,0.232
37396,0.1088,0.3328,0.5024,0.1336,0.2272,0.4304,0.0664,0.204
40212,0.1136,0.3728,0.4416,0.1256,0.2232,0.4664,0.0512,0.1808
43241,0.108,0.26,0.464,0.1072,0.1952,0.404,0.0352,0.1616
46498,0.108,0.2512,0.256,0.092,0.2384,0.3504,0.0264,0.1224
50000,0.0976,0.2744,0.352,0.1352,0.2384,0.3152,0,0.1096
