"s01_AS","s025_AS","s05_AS","s075_AS","a01_AS","a05_AS","a1_AS","a25_AS"
1.80444444444444,1.87333333333333,1.91666666666667,1.85111111111111,1.83888888888889,1.85888888888889,1.90888888888889,1.88222222222222
1.80555555555556,1.87,1.91444444444444,1.84444444444444,1.83888888888889,1.85666666666667,1.90444444444444,1.88222222222222
1.80333333333333,1.87444444444444,1.91444444444444,1.84111111111111,1.83555555555556,1.85555555555556,1.89777777777778,1.88222222222222
1.80444444444444,1.87333333333333,1.90777777777778,1.84333333333333,1.83222222222222,1.85555555555556,1.89666666666667,1.87888888888889
1.80444444444444,1.87111111111111,1.90555555555556,1.84333333333333,1.83333333333333,1.85111111111111,1.89888888888889,1.86777777777778
1.80444444444444,1.87222222222222,1.89888888888889,1.84555555555556,1.83333333333333,1.84888888888889,1.90111111111111,1.86777777777778
1.80222222222222,1.86555555555556,1.89888888888889,1.84555555555556,1.83333333333333,1.85,1.89888888888889,1.85888888888889
1.79555555555556,1.85666666666667,1.89666666666667,1.84777777777778,1.83666666666667,1.85222222222222,1.89888888888889,1.85666666666667
1.78333333333333,1.85111111111111,1.89,1.84555555555556,1.83666666666667,1.84888888888889,1.89666666666667,1.85444444444444
1.78333333333333,1.85333333333333,1.88777777777778,1.84111111111111,1.83111111111111,1.85,1.89444444444444,1.85444444444444
1.78222222222222,1.85333333333333,1.89,1.83777777777778,1.83333333333333,1.85,1.89444444444444,1.85444444444444
1.78666666666667,1.85555555555556,1.88888888888889,1.83555555555556,1.83,1.84222222222222,1.89222222222222,1.85444444444444
1.79111111111111,1.85333333333333,1.88888888888889,1.83333333333333,1.83222222222222,1.83777777777778,1.89333333333333,1.85333333333333
1.79,1.84444444444444,1.88444444444444,1.83333333333333,1.83222222222222,1.83333333333333,1.89111111111111,1.84777777777778
1.78888888888889,1.84666666666667,1.88222222222222,1.83111111111111,1.82888888888889,1.83333333333333,1.89,1.84222222222222
1.78888888888889,1.84777777777778,1.87888888888889,1.83,1.82666666666667,1.82777777777778,1.88111111111111,1.84222222222222
1.78888888888889,1.84444444444444,1.87333333333333,1.83,1.82888888888889,1.82444444444444,1.87777777777778,1.84222222222222
1.78444444444444,1.84444444444444,1.86666666666667,1.83111111111111,1.83111111111111,1.82,1.87555555555556,1.83777777777778
1.78333333333333,1.83333333333333,1.85777777777778,1.82888888888889,1.83111111111111,1.82333333333333,1.86888888888889,1.82555555555556
1.78,1.83,1.86,1.82888888888889,1.82777777777778,1.82555555555556,1.86444444444444,1.82
1.78,1.82444444444444,1.85333333333333,1.81777777777778,1.82333333333333,1.82333333333333,1.84777777777778,1.81555555555556
1.78111111111111,1.82444444444444,1.85555555555556,1.81555555555556,1.82444444444444,1.82111111111111,1.84333333333333,1.81666666666667
1.78333333333333,1.81666666666667,1.84888888888889,1.81555555555556,1.82333333333333,1.81888888888889,1.84333333333333,1.81
1.78444444444444,1.81666666666667,1.84666666666667,1.81111111111111,1.81666666666667,1.81222222222222,1.84222222222222,1.81
1.78444444444444,1.80777777777778,1.84555555555556,1.81444444444444,1.82,1.80444444444444,1.83777777777778,1.79555555555556
1.77555555555556,1.79222222222222,1.84111111111111,1.81333333333333,1.80222222222222,1.80333333333333,1.83888888888889,1.79
1.76777777777778,1.79666666666667,1.84111111111111,1.80888888888889,1.79555555555556,1.80333333333333,1.83666666666667,1.78777777777778
1.76888888888889,1.79444444444444,1.84222222222222,1.80111111111111,1.79444444444444,1.79555555555556,1.83555555555556,1.78333333333333
1.76444444444444,1.79222222222222,1.85,1.79444444444444,1.80111111111111,1.79111111111111,1.83222222222222,1.78111111111111
1.76111111111111,1.78555555555556,1.85111111111111,1.78444444444444,1.79222222222222,1.78222222222222,1.83,1.77
1.74555555555556,1.77444444444444,1.83555555555556,1.76666666666667,1.79333333333333,1.77666666666667,1.82777777777778,1.77
1.73,1.77111111111111,1.83111111111111,1.76222222222222,1.78555555555556,1.77333333333333,1.82,1.76333333333333
1.72,1.76333333333333,1.82,1.75555555555556,1.78777777777778,1.77111111111111,1.81222222222222,1.75777777777778
1.71444444444444,1.75,1.81444444444444,1.74888888888889,1.78222222222222,1.76,1.80222222222222,1.75333333333333
1.70333333333333,1.74666666666667,1.81444444444444,1.74,1.78111111111111,1.74555555555556,1.79666666666667,1.74333333333333
1.69333333333333,1.73555555555556,1.80444444444444,1.73777777777778,1.78666666666667,1.74888888888889,1.78333333333333,1.74
1.66444444444444,1.72111111111111,1.79222222222222,1.71444444444444,1.78888888888889,1.74222222222222,1.76777777777778,1.73111111111111
1.64333333333333,1.71888888888889,1.77888888888889,1.70777777777778,1.78444444444444,1.73111111111111,1.77333333333333,1.72444444444444
1.63555555555556,1.71,1.76,1.69666666666667,1.77777777777778,1.72,1.76666666666667,1.71333333333333
1.62333333333333,1.71555555555556,1.75777777777778,1.69,1.77,1.70444444444444,1.75777777777778,1.7
1.60555555555556,1.69111111111111,1.74666666666667,1.67333333333333,1.75666666666667,1.69,1.75,1.68777777777778
1.59777777777778,1.67,1.73555555555556,1.65333333333333,1.74888888888889,1.67444444444444,1.73666666666667,1.66888888888889
1.58777777777778,1.65333333333333,1.72777777777778,1.63777777777778,1.73444444444444,1.67777777777778,1.72222222222222,1.65888888888889
1.58111111111111,1.64,1.71777777777778,1.63222222222222,1.70555555555556,1.65888888888889,1.69666666666667,1.63777777777778
1.55,1.61111111111111,1.69333333333333,1.59666666666667,1.69222222222222,1.66333333333333,1.67444444444444,1.62111111111111
1.53,1.59222222222222,1.69444444444444,1.58666666666667,1.67777777777778,1.65,1.66333333333333,1.61555555555556
1.50888888888889,1.57666666666667,1.68,1.57,1.67333333333333,1.64111111111111,1.65333333333333,1.60777777777778
1.48555555555556,1.56444444444444,1.65111111111111,1.56444444444444,1.67666666666667,1.63111111111111,1.63333333333333,1.60111111111111
1.46666666666667,1.54111111111111,1.64888888888889,1.53888888888889,1.65,1.62777777777778,1.62111111111111,1.58111111111111
1.42555555555556,1.52222222222222,1.62666666666667,1.52222222222222,1.65,1.61333333333333,1.61,1.56555555555556
1.40333333333333,1.48555555555556,1.61,1.51333333333333,1.65666666666667,1.6,1.58444444444444,1.55555555555556
1.38,1.47222222222222,1.59444444444444,1.5,1.65333333333333,1.57333333333333,1.57555555555556,1.54666666666667
1.34666666666667,1.45111111111111,1.57,1.47333333333333,1.66333333333333,1.57111111111111,1.55333333333333,1.53333333333333
1.31888888888889,1.43888888888889,1.56,1.45333333333333,1.63555555555556,1.57888888888889,1.52777777777778,1.52222222222222
1.29555555555556,1.40444444444444,1.54555555555556,1.44888888888889,1.63,1.56444444444444,1.53,1.51111111111111
1.26555555555556,1.39111111111111,1.52222222222222,1.40333333333333,1.65777777777778,1.57111111111111,1.49111111111111,1.48888888888889
1.23444444444444,1.35444444444444,1.50111111111111,1.37222222222222,1.63555555555556,1.55777777777778,1.46777777777778,1.48111111111111
1.18111111111111,1.32222222222222,1.48111111111111,1.34111111111111,1.64,1.54555555555556,1.45222222222222,1.46333333333333
1.12888888888889,1.28,1.44444444444444,1.30444444444444,1.61222222222222,1.53,1.43111111111111,1.44666666666667
1.08666666666667,1.25555555555556,1.40111111111111,1.25777777777778,1.61111111111111,1.50555555555556,1.41888888888889,1.41888888888889
1.04222222222222,1.21555555555556,1.38777777777778,1.21333333333333,1.62333333333333,1.50222222222222,1.39111111111111,1.38222222222222
0.98,1.15555555555556,1.34222222222222,1.18777777777778,1.6,1.48555555555556,1.38444444444444,1.35888888888889
0.928888888888889,1.14444444444444,1.32888888888889,1.16555555555556,1.57,1.48,1.34333333333333,1.34777777777778
0.884444444444444,1.08222222222222,1.32666666666667,1.14888888888889,1.57666666666667,1.47666666666667,1.31777777777778,1.32333333333333
0.813333333333333,1.04888888888889,1.28777777777778,1.10444444444444,1.59666666666667,1.48444444444444,1.30333333333333,1.30222222222222
0.758888888888889,1.00111111111111,1.26777777777778,1.03222222222222,1.57444444444444,1.46777777777778,1.28888888888889,1.26777777777778
0.695555555555555,0.954444444444444,1.23888888888889,0.973333333333333,1.58666666666667,1.46333333333333,1.26222222222222,1.25444444444444
0.618888888888889,0.916666666666667,1.20888888888889,0.912222222222222,1.55666666666667,1.43777777777778,1.24444444444444,1.24
0.561111111111111,0.863333333333333,1.20333333333333,0.855555555555556,1.56555555555556,1.43444444444444,1.21777777777778,1.21333333333333
0.486666666666667,0.806666666666667,1.17555555555556,0.806666666666667,1.52888888888889,1.42333333333333,1.20666666666667,1.17555555555556
0.443333333333333,0.724444444444444,1.15777777777778,0.755555555555556,1.55,1.41111111111111,1.18555555555556,1.13111111111111
0.382222222222222,0.692222222222222,1.15,0.698888888888889,1.56,1.44555555555556,1.17333333333333,1.1
0.295555555555556,0.673333333333333,1.13888888888889,0.633333333333333,1.53777777777778,1.41666666666667,1.16555555555556,1.08111111111111
0.232222222222222,0.612222222222222,1.10333333333333,0.603333333333333,1.55,1.40444444444444,1.17111111111111,1.06222222222222
0.204444444444444,0.527777777777778,1.11666666666667,0.584444444444444,1.56777777777778,1.42111111111111,1.14,1.04111111111111
0.176666666666667,0.486666666666667,1.10333333333333,0.543333333333333,1.54333333333333,1.40666666666667,1.13222222222222,1.02222222222222
0.128888888888889,0.442222222222222,1.06666666666667,0.48,1.55222222222222,1.38666666666667,1.12777777777778,1.01222222222222
0.0988888888888889,0.398888888888889,1.07111111111111,0.418888888888889,1.52888888888889,1.34111111111111,1.10444444444444,0.987777777777778
0.0755555555555556,0.333333333333333,1.04777777777778,0.362222222222222,1.50888888888889,1.37222222222222,1.10666666666667,0.98
0.07,0.272222222222222,1.03666666666667,0.286666666666667,1.5,1.32888888888889,1.08888888888889,0.945555555555556
0.0311111111111111,0.228888888888889,0.985555555555556,0.248888888888889,1.49444444444444,1.29333333333333,1.05222222222222,0.906666666666667
0.0144444444444444,0.16,0.977777777777778,0.207777777777778,1.54222222222222,1.3,1.01333333333333,0.884444444444444
0.01,0.103333333333333,0.957777777777778,0.173333333333333,1.52333333333333,1.27444444444444,0.978888888888889,0.866666666666667
0.00888888888888889,0.0655555555555556,0.944444444444444,0.14,1.56888888888889,1.28333333333333,0.996666666666667,0.837777777777778
0.00444444444444444,0.0422222222222222,0.912222222222222,0.112222222222222,1.51333333333333,1.31333333333333,1.00666666666667,0.824444444444444
0.00666666666666667,0.0233333333333333,0.925555555555556,0.0944444444444444,1.49666666666667,1.29333333333333,0.987777777777778,0.802222222222222
0,0.0166666666666667,0.964444444444444,0.0744444444444445,1.51222222222222,1.31,0.968888888888889,0.766666666666667
0,0.00777777777777778,0.944444444444444,0.0577777777777778,1.49666666666667,1.32555555555556,0.962222222222222,0.728888888888889
0,0.00333333333333333,0.893333333333333,0.0444444444444444,1.51666666666667,1.28555555555556,0.905555555555556,0.724444444444444
0,0.00333333333333333,0.891111111111111,0.0322222222222222,1.50555555555556,1.23444444444444,0.908888888888889,0.695555555555556
0,0.00222222222222222,0.895555555555556,0.0155555555555556,1.48,1.24555555555556,0.888888888888889,0.668888888888889
0,0.00222222222222222,0.886666666666667,0.00444444444444444,1.45888888888889,1.26777777777778,0.881111111111111,0.624444444444444
0,0,0.875555555555556,0,1.47666666666667,1.24111111111111,0.877777777777778,0.602222222222222
0,0,0.875555555555556,0,1.53777777777778,1.21,0.886666666666667,0.587777777777778
0,0,0.846666666666667,0,1.57111111111111,1.23777777777778,0.835555555555556,0.57
0,0,0.847777777777778,0,1.53888888888889,1.21,0.804444444444444,0.535555555555556
0,0,0.838888888888889,0,1.55666666666667,1.19777777777778,0.798888888888889,0.52
0,0,0.82,0,1.57111111111111,1.18666666666667,0.763333333333333,0.511111111111111
0,0,0.814444444444444,0,1.58666666666667,1.22888888888889,0.783333333333333,0.484444444444444
0,0,0.784444444444444,0,1.55111111111111,1.29444444444444,0.79,0.484444444444444
0,0,0.694444444444444,0,1.56777777777778,1.24888888888889,0.793333333333333,0.458888888888889
0,0,0.697777777777778,0,1.59666666666667,1.23777777777778,0.757777777777778,0.437777777777778
0,0,0.697777777777778,0,1.62111111111111,1.21111111111111,0.787777777777778,0.42
0,0,0.707777777777778,0,1.55222222222222,1.15444444444444,0.732222222222222,0.425555555555556
0,0,0.644444444444444,0,1.58444444444444,1.20444444444444,0.721111111111111,0.405555555555556
0,0,0.647777777777778,0,1.51666666666667,1.19777777777778,0.708888888888889,0.408888888888889
0,0,0.614444444444444,0,1.57666666666667,1.30333333333333,0.717777777777778,0.42
0,0,0.597777777777778,0,1.55,1.24555555555556,0.666666666666667,0.412222222222222
0,0,0.586666666666667,0,1.52444444444444,1.28333333333333,0.648888888888889,0.383333333333333
0,0,0.545555555555556,0,1.56222222222222,1.24111111111111,0.67,0.374444444444444
0,0,0.57,0,1.51111111111111,1.32,0.662222222222222,0.35
0,0,0.631111111111111,0,1.52333333333333,1.21111111111111,0.635555555555556,0.356666666666667
0,0,0.62,0,1.51444444444444,1.30444444444444,0.64,0.351111111111111
0,0,0.6,0,1.54666666666667,1.16888888888889,0.538888888888889,0.35
0,0,0.622222222222222,0,1.43222222222222,1.23222222222222,0.522222222222222,0.334444444444444
0,0,0.54,0,1.52111111111111,1.12888888888889,0.528888888888889,0.34
0,0,0.554444444444444,0,1.59555555555556,1.19888888888889,0.526666666666667,0.328888888888889
0,0,0.588888888888889,0,1.52444444444444,1.30666666666667,0.501111111111111,0.3
0,0,0.6,0,1.59555555555556,1.22333333333333,0.468888888888889,0.263333333333333
0,0,0.544444444444444,0,1.56333333333333,1.21,0.44,0.267777777777778
0,0,0.561111111111111,0,1.54555555555556,1.2,0.453333333333333,0.265555555555556
0,0,0.582222222222222,0,1.54555555555556,1.16555555555556,0.428888888888889,0.26
0,0,0.528888888888889,0,1.57222222222222,1.14555555555556,0.456666666666667,0.24
0,0,0.581111111111111,0,1.54888888888889,1.27111111111111,0.49,0.243333333333333
0,0,0.597777777777778,0,1.52,1.23666666666667,0.451111111111111,0.24
0,0,0.444444444444444,0,1.57666666666667,1.31444444444444,0.391111111111111,0.251111111111111
0,0,0.507777777777778,0,1.53777777777778,1.20888888888889,0.402222222222222,0.237777777777778
